tract_id,mhi,year_usd
22021000300,36000,2012
22023970100,63000,2012
22023970201,62000,2012
22025000100,32000,2012
22025000200,29000,2012
22025000300,45000,2012
22027950100,40000,2012
22027950200,30000,2012
22027950300,30000,2012
22027950400,29000,2012
22027950500,34000,2012
22029000100,29000,2012
22029000200,16000,2012
22029000300,35000,2012
22029000400,36000,2012
22029000500,44000,2012
22031950100,53000,2012
22031950200,41000,2012
22031950300,37000,2012
22031950400,31000,2012
22031950500,25000,2012
22031950600,20000,2012
22031950700,40000,2012
22033000100,25000,2012
22033000200,30000,2012
22033000300,35000,2012
22033000400,28000,2012
22033000500,19000,2012
22033000601,26000,2012
22033000602,29000,2012
22033000701,31000,2012
22033000702,29000,2012
22033000900,27000,2012
22033001000,21000,2012
22033001102,22000,2012
22033001103,26000,2012
22033001104,19000,2012
22033001600,43000,2012
22033001700,43000,2012
22033001800,40000,2012
22033001900,64000,2012
22033002000,63000,2012
22033002200,18000,2012
22033002300,73000,2012
22033002400,20000,2012
22033002500,20000,2012
22033002601,66000,2012
22033002602,78000,2012
22033002700,40000,2012
22033002801,26000,2012
22033002802,13000,2012
22033003000,25000,2012
22033003101,20000,2012
22033003103,26000,2012
22033003201,55000,2012
22033003202,55000,2012
22033003300,26000,2012
22033003400,37000,2012
22033003501,49000,2012
22033003504,48000,2012
22033003505,39000,2012
22033003506,47000,2012
22033003507,55000,2012
22033003601,46000,2012
22033003603,35000,2012
22033003604,27000,2012
22033003701,55000,2012
22033003702,55000,2012
22033003703,72000,2012
22033003801,53000,2012
22033003802,54000,2012
22033003804,68000,2012
22033003805,52000,2012
22033003904,36000,2012
22033003906,73000,2012
22033003907,54000,2012
22033003908,76000,2012
22033003909,48000,2012
22033003910,44000,2012
22033004005,62000,2012
22033004006,85000,2012
22033004009,68000,2012
22033004010,79000,2012
22033004011,32000,2012
22033004013,20000,2012
22033004014,26000,2012
22033004015,40000,2012
22033004016,115000,2012
22033004201,44000,2012
22033004203,35000,2012
22033004204,40000,2012
22033004205,44000,2012
22033004301,62000,2012
22033004302,66000,2012
22033004401,75000,2012
22033004402,53000,2012
22033004403,63000,2012
22033004503,50000,2012
22033004504,56000,2012
22033004505,50000,2012
22033004507,84000,2012
22033004508,118000,2012
22033004509,69000,2012
22033004510,80000,2012
22033004602,44000,2012
22033004603,75000,2012
22033004604,72000,2012
22033004700,66000,2012
22033004800,44000,2012
22033004900,87000,2012
22033005000,88000,2012
22033005100,34000,2012
22033005200,32000,2012
22033005300,31000,2012
22035000100,32000,2012
22035000200,31000,2012
22035000300,18000,2012
22037951300,32000,2012
22037951400,32000,2012
22037951501,51000,2012
22037951502,57000,2012
22037951600,43000,2012
22039950100,49000,2012
22039950200,42000,2012
22039950300,37000,2012
22039950400,22000,2012
22039950500,17000,2012
22039950600,18000,2012
22039950700,46000,2012
22039950800,40000,2012
22041950100,47000,2012
22041950200,32000,2012
22041950300,26000,2012
22041950400,37000,2012
22041950500,41000,2012
22041950600,26000,2012
22043020100,37000,2012
22043020200,33000,2012
22043020300,29000,2012
22043020401,43000,2012
22043020402,43000,2012
22045030100,37000,2012
22045030200,66000,2012
22045030301,50000,2012
22045030302,59000,2012
22045030400,51000,2012
22045030500,37000,2012
22045030600,76000,2012
22045030700,48000,2012
22045030800,20000,2012
22045030900,29000,2012
22045031000,25000,2012
22045031100,32000,2012
22045031200,35000,2012
22045031300,57000,2012
22045031600,43000,2012
22047952600,35000,2012
22047952700,52000,2012
22047952900,40000,2012
22047953000,43000,2012
22047953101,34000,2012
22047953102,47000,2012
22047953200,54000,2012
