"point_id","state_fips_2010","county_fips_2010","tract_2010"
91,"22","109","1400"
92,"22","109","1400"
93,"22","109","1400"
94,"22","109","1400"
95,"22","109","1400"
96,"22","109","1400"
97,"22","109","1300"
98,"22","109","1300"
99,"22","57","21200"
100,"22","57","21200"
101,"22","57","21200"
102,"22","57","21200"
103,"22","109","1400"
104,"22","109","1300"
105,"22","109","1300"
106,"22","109","1300"
107,"22","109","1300"
108,"22","109","1100"
109,"22","57","21200"
110,"22","57","21200"
111,"22","57","21200"
112,"22","75","50800"
113,"22","109","1400"
114,"22","109","1400"
115,"22","109","1300"
116,"22","109","1300"
117,"22","109","1100"
118,"22","57","21200"
119,"22","57","21200"
120,"22","109","1400"
121,"22","109","1400"
122,"22","109","1300"
123,"22","109","1300"
124,"22","109","1300"
125,"22","109","1100"
126,"22","57","21200"
127,"22","75","50800"
128,"22","109","1400"
129,"22","109","1400"
130,"22","109","1400"
131,"22","109","1400"
132,"22","109","1400"
133,"22","109","1400"
134,"22","109","1300"
135,"22","109","1300"
136,"22","109","1100"
137,"22","109","1100"
138,"22","57","21200"
139,"22","57","21200"
140,"22","109","1400"
141,"22","109","1400"
142,"22","109","1400"
143,"22","109","1400"
144,"22","109","1400"
145,"22","109","1300"
146,"22","109","1300"
147,"22","109","1300"
148,"22","109","1300"
149,"22","109","1300"
150,"22","57","21200"
151,"22","57","21200"
152,"22","57","21200"
153,"22","57","21200"
154,"22","109","1400"
155,"22","109","1400"
156,"22","109","1400"
157,"22","109","1400"
158,"22","109","1400"
159,"22","109","1400"
160,"22","109","1400"
161,"22","109","1400"
162,"22","109","1400"
163,"22","109","1100"
164,"22","109","1100"
165,"22","109","1100"
166,"22","57","21200"
167,"22","57","21200"
168,"22","57","21200"
169,"22","75","50400"
170,"22","109","1400"
171,"22","109","1400"
172,"22","109","1400"
173,"22","109","1100"
174,"22","109","1100"
175,"22","109","1100"
176,"22","57","21200"
177,"22","57","21200"
178,"22","57","21200"
179,"22","57","21200"
180,"22","109","1400"
181,"22","109","1400"
182,"22","109","1400"
183,"22","109","1400"
184,"22","109","1100"
185,"22","109","1100"
186,"22","109","1100"
187,"22","75","50400"
188,"22","109","1400"
189,"22","109","1400"
190,"22","109","1400"
191,"22","109","1400"
192,"22","109","1400"
193,"22","109","1100"
194,"22","109","1100"
195,"22","109","1100"
196,"22","57","21200"
197,"22","57","21200"
198,"22","57","21200"
199,"22","57","21100"
200,"22","109","1400"
201,"22","109","1400"
202,"22","109","1400"
203,"22","109","1400"
204,"22","109","1400"
205,"22","57","21100"
206,"22","75","50400"
207,"22","109","1400"
208,"22","109","1400"
209,"22","109","1400"
210,"22","109","1400"
211,"22","109","1400"
212,"22","109","1400"
213,"22","109","1400"
214,"22","109","1400"
215,"22","109","1400"
216,"22","109","1400"
217,"22","109","1100"
218,"22","109","1100"
219,"22","57","21200"
220,"22","57","21100"
221,"22","109","1400"
222,"22","109","1400"
223,"22","109","1400"
224,"22","109","1400"
225,"22","109","1400"
226,"22","109","1400"
227,"22","109","1400"
228,"22","109","1400"
229,"22","109","1100"
230,"22","57","21200"
231,"22","57","21100"
232,"22","57","21100"
233,"22","57","21100"
234,"22","101","40900"
235,"22","109","1400"
236,"22","109","1400"
237,"22","109","1400"
238,"22","109","1400"
239,"22","109","1400"
240,"22","109","1400"
241,"22","109","1400"
242,"22","109","1400"
243,"22","109","1400"
244,"22","109","1100"
245,"22","109","1100"
246,"22","109","1100"
247,"22","109","1100"
248,"22","57","21200"
249,"22","57","21200"
250,"22","57","21200"
251,"22","57","21200"
252,"22","57","21100"
253,"22","57","21100"
254,"22","57","21100"
255,"22","75","50400"
256,"22","109","1400"
257,"22","109","1400"
258,"22","109","1400"
259,"22","109","1400"
260,"22","109","1400"
261,"22","109","1400"
262,"22","109","1400"
263,"22","109","1400"
264,"22","109","1400"
265,"22","57","21200"
266,"22","57","21200"
267,"22","57","21100"
268,"22","57","21100"
269,"22","57","21100"
270,"22","57","21100"
271,"22","75","50400"
272,"22","75","50400"
273,"22","109","1400"
274,"22","109","1400"
275,"22","109","1400"
276,"22","109","1400"
277,"22","109","1400"
278,"22","109","1400"
279,"22","109","1400"
280,"22","109","1400"
281,"22","57","21100"
282,"22","57","21100"
283,"22","57","21100"
284,"22","57","21100"
285,"22","57","21100"
286,"22","109","1400"
287,"22","109","1400"
288,"22","109","1400"
289,"22","109","1400"
290,"22","109","1400"
291,"22","109","1400"
292,"22","109","1400"
293,"22","109","1400"
294,"22","109","1400"
295,"22","109","1400"
296,"22","109","1400"
297,"22","109","1400"
298,"22","109","1400"
299,"22","109","1300"
300,"22","57","21100"
301,"22","57","21100"
302,"22","57","21100"
303,"22","57","21100"
304,"22","75","50400"
305,"22","75","50400"
306,"22","75","50600"
307,"22","75","50600"
308,"22","109","1400"
